id	title	description	link	image_link	availability	price	condition	brand	mpn	identifier_exists	google_product_category	product_type	shipping	shipping_label
ED-10031-111MN	Mobile CNC Tool Cabinet - H1300 ED-10031-111MN	Mobile CNC Tool Cabinet - H1300 ED-10031-111MN. Tool Holders: BT-30. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/ed-10031-111mn/	https://www.storagesystem.com.my/feed-img/asset3__ED-10031-111MN.jpg	in_stock	5844.25 MYR	new	Tanko	ED-10031-111MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
ED-10031-222MN	Mobile CNC Tool Cabinet - H1300 ED-10031-222MN	Mobile CNC Tool Cabinet - H1300 ED-10031-222MN. Tool Holders: BT-40. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/ed-10031-222mn/	https://www.storagesystem.com.my/feed-img/asset3__ED-10031-222MN.jpg	in_stock	5952.70 MYR	new	Tanko	ED-10031-222MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
ED-10032-333MN	Mobile CNC Tool Cabinet - H1300 ED-10032-333MN	Mobile CNC Tool Cabinet - H1300 ED-10032-333MN. Tool Holders: BT-50. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/ed-10032-333mn/	https://www.storagesystem.com.my/feed-img/asset3__ED-10032-333MN.jpg	in_stock	5808.10 MYR	new	Tanko	ED-10032-333MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
ED-10032-666MN	Mobile CNC Tool Cabinet - H1300 ED-10032-666MN	Mobile CNC Tool Cabinet - H1300 ED-10032-666MN. Tool Holders: HSK-40. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/ed-10032-666mn/	https://www.storagesystem.com.my/feed-img/asset3__ED-10032-666MN.jpg	in_stock	5904.50 MYR	new	Tanko	ED-10032-666MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
ED-10032-888MN	Mobile CNC Tool Cabinet - H1300 ED-10032-888MN	Mobile CNC Tool Cabinet - H1300 ED-10032-888MN. Tool Holders: HSK-63. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/ed-10032-888mn/	https://www.storagesystem.com.my/feed-img/asset3__ED-10032-888MN.jpg	in_stock	5844.25 MYR	new	Tanko	ED-10032-888MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EA-10031-11N	CNC Tool Cabinet - H1000 EA-10031-11N	CNC Tool Cabinet - H1000 EA-10031-11N. Tool Holders: BT-30. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/ea-10031-11n/	https://www.storagesystem.com.my/feed-img/asset3__EA-10031-11N.jpg	in_stock	3831.90 MYR	new	Tanko	EA-10031-11N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EA-10031-22N	CNC Tool Cabinet - H1000 EA-10031-22N	CNC Tool Cabinet - H1000 EA-10031-22N. Load capacity: 100kg/standard drawer, 200kg/T drawer, 1000kg whole-frame. Drawers: 3. Tool Holders: BT-40. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/ea-10031-22n/	https://www.storagesystem.com.my/feed-img/asset3__EA-10031-22N.jpg	in_stock	3892.15 MYR	new	Tanko	EA-10031-22N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EA-10032-33N	CNC Tool Cabinet - H1000 EA-10032-33N	CNC Tool Cabinet - H1000 EA-10032-33N. Drawers: 3. Tool Holders: BT-50. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/ea-10032-33n/	https://www.storagesystem.com.my/feed-img/asset3__EA-10032-33N.jpg	in_stock	3783.70 MYR	new	Tanko	EA-10032-33N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EA-10032-66N	CNC Tool Cabinet - H1000 EA-10032-66N	CNC Tool Cabinet - H1000 EA-10032-66N. Tool Holders: HSK-40. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/ea-10032-66n/	https://www.storagesystem.com.my/feed-img/asset3__EA-10032-66N.jpg	in_stock	3819.85 MYR	new	Tanko	EA-10032-66N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EA-10032-88N	CNC Tool Cabinet - H1000 EA-10032-88N	CNC Tool Cabinet - H1000 EA-10032-88N. Tool Holders: HSK-63. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/ea-10032-88n/	https://www.storagesystem.com.my/feed-img/asset3__EA-10032-88N.jpg	in_stock	3771.65 MYR	new	Tanko	EA-10032-88N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
